model_family,split_name,target,feature,importance
ExtraTrees,holdout_G03,DelP_Pa,Re,0.5826877631923337
ExtraTrees,holdout_G03,DelP_Pa,Da,0.3014369737037167
ExtraTrees,holdout_G03,DelP_Pa,Hp_mm,0.10684990834245105
ExtraTrees,holdout_G03,DelP_Pa,a_mm,0.008511441038204661
ExtraTrees,holdout_G03,DelP_Pa,Lw_mm,0.0004947296906042986
ExtraTrees,holdout_G03,DelP_Pa,epsi,1.9144572076205497e-05
ExtraTrees,holdout_G03,DelP_Pa,Pr,3.946061322938106e-08
ExtraTrees,holdout_G04,Nuavg,Re,0.4833309201372916
ExtraTrees,holdout_G04,Nuavg,Pr,0.4716480741530121
ExtraTrees,holdout_G04,Nuavg,Hp_mm,0.02626723241328659
ExtraTrees,holdout_G04,Nuavg,a_mm,0.014335694136314716
ExtraTrees,holdout_G04,Nuavg,Lw_mm,0.0026466510513059446
ExtraTrees,holdout_G04,Nuavg,Da,0.0017588512226979411
ExtraTrees,holdout_G04,Nuavg,epsi,1.2576886091136844e-05
ExtraTrees,holdout_G04,DelP_Pa,Re,0.5807815823235714
ExtraTrees,holdout_G04,DelP_Pa,Da,0.30273110760701405
ExtraTrees,holdout_G04,DelP_Pa,Hp_mm,0.10655147873784668
ExtraTrees,holdout_G04,DelP_Pa,a_mm,0.008965821680527414
ExtraTrees,holdout_G04,DelP_Pa,Lw_mm,0.0009501075584124108
ExtraTrees,holdout_G04,DelP_Pa,epsi,1.9879472622584434e-05
ExtraTrees,holdout_G04,DelP_Pa,Pr,2.2620005514035435e-08
ExtraTrees,holdout_G05,Nuavg,Re,0.47905635199690033
ExtraTrees,holdout_G05,Nuavg,Pr,0.47511320678399915
ExtraTrees,holdout_G05,Nuavg,Hp_mm,0.026510824753540524
ExtraTrees,holdout_G05,Nuavg,a_mm,0.015778207258257175
ExtraTrees,holdout_G05,Nuavg,Da,0.0024243102301762585
ExtraTrees,holdout_G05,Nuavg,Lw_mm,0.0011047269322337471
ExtraTrees,holdout_G05,Nuavg,epsi,1.2372044892804603e-05
ExtraTrees,holdout_G05,DelP_Pa,Re,0.5832460905055268
ExtraTrees,holdout_G05,DelP_Pa,Da,0.3020928196599323
ExtraTrees,holdout_G05,DelP_Pa,Hp_mm,0.10466009355702544
ExtraTrees,holdout_G05,DelP_Pa,a_mm,0.009675216407679649
ExtraTrees,holdout_G05,DelP_Pa,Lw_mm,0.00030562619153684555
ExtraTrees,holdout_G05,DelP_Pa,epsi,2.0137271744781297e-05
ExtraTrees,holdout_G05,DelP_Pa,Pr,1.6406554378589634e-08
ExtraTrees,holdout_G06,Nuavg,Re,0.48873038530097795
ExtraTrees,holdout_G06,Nuavg,Pr,0.4749811198109876
ExtraTrees,holdout_G06,Nuavg,Hp_mm,0.027176111723746166
ExtraTrees,holdout_G06,Nuavg,a_mm,0.005396358219111485
ExtraTrees,holdout_G06,Nuavg,Lw_mm,0.002267976779703345
ExtraTrees,holdout_G06,Nuavg,Da,0.00144471300561637
ExtraTrees,holdout_G06,Nuavg,epsi,3.335159857132334e-06
ExtraTrees,holdout_G06,DelP_Pa,Re,0.5708481691119294
ExtraTrees,holdout_G06,DelP_Pa,Da,0.31938968302695764
ExtraTrees,holdout_G06,DelP_Pa,Hp_mm,0.10724891575078435
ExtraTrees,holdout_G06,DelP_Pa,a_mm,0.002266904273631764
ExtraTrees,holdout_G06,DelP_Pa,Lw_mm,0.00022537696735001254
ExtraTrees,holdout_G06,DelP_Pa,epsi,2.0942154094741203e-05
ExtraTrees,holdout_G06,DelP_Pa,Pr,8.715252156500092e-09
ExtraTrees,combined_G06_Re500,Nuavg,Pr,0.5450217473888049
ExtraTrees,combined_G06_Re500,Nuavg,Re,0.41740167445951304
ExtraTrees,combined_G06_Re500,Nuavg,Hp_mm,0.02902268041605745
ExtraTrees,combined_G06_Re500,Nuavg,a_mm,0.005523532359838544
ExtraTrees,combined_G06_Re500,Nuavg,Da,0.0016738965321351543
ExtraTrees,combined_G06_Re500,Nuavg,Lw_mm,0.0013554515326538697
ExtraTrees,combined_G06_Re500,Nuavg,epsi,1.0173109968512972e-06
ExtraTrees,combined_G06_Re500,DelP_Pa,Re,0.45898191000038857
ExtraTrees,combined_G06_Re500,DelP_Pa,Da,0.4070294635207879
ExtraTrees,combined_G06_Re500,DelP_Pa,Hp_mm,0.13162427197754284
ExtraTrees,combined_G06_Re500,DelP_Pa,a_mm,0.0021442302953476678
ExtraTrees,combined_G06_Re500,DelP_Pa,Lw_mm,0.00020532021574803426
ExtraTrees,combined_G06_Re500,DelP_Pa,epsi,1.4797140226947681e-05
ExtraTrees,combined_G06_Re500,DelP_Pa,Pr,6.8499581055655185e-09
