split_name,family,target,score_method,tolerance_pct,failure_rate,failure_AUROC,failure_AUPRC,AURC_MAPE_pct,full_MAE,full_RMSE,full_MAPE_pct,full_R2,model_family
holdout_Re100,withheld_reynolds,Nuavg,D_plus_V,5.0,0.8888888888888888,0.4750823974609375,0.883437776601996,8.018324336500243,1.3618585797739755,1.6079076184554604,8.709623468082045,0.8871914401495687,ExtraTrees
holdout_Re100,withheld_reynolds,Nuavg,U_plus_D_plus_V,5.0,0.8888888888888888,0.4750823974609375,0.883437776601996,8.018324336500243,1.3618585797739755,1.6079076184554604,8.709623468082045,0.8871914401495687,ExtraTrees
holdout_Re100,withheld_reynolds,Nuavg,U_2D_plus_V,5.0,0.8888888888888888,0.4750823974609375,0.883437776601996,8.018324336500243,1.3618585797739755,1.6079076184554604,8.709623468082045,0.8871914401495687,ExtraTrees
holdout_Re100,withheld_reynolds,Nuavg,conservative_U_D_V_max,5.0,0.8888888888888888,0.5,0.8888888888888888,8.3287151583236,1.3618585797739755,1.6079076184554604,8.709623468082045,0.8871914401495687,ExtraTrees
holdout_Re100,withheld_reynolds,Nuavg,oracle_error_rank,5.0,0.8888888888888888,1.0,1.0,6.091648471170406,1.3618585797739755,1.6079076184554604,8.709623468082045,0.8871914401495687,ExtraTrees
holdout_Re100,withheld_reynolds,Nuavg,random_rejection,5.0,0.8888888888888888,0.4699249267578125,0.8769154907416742,8.784633421692428,1.3618585797739755,1.6079076184554604,8.709623468082045,0.8871914401495687,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,U_only,10.0,1.0,,,45.74261079998135,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,D_only,10.0,1.0,,,45.7935004715249,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,V_only,10.0,1.0,,,45.74261079998135,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,U_plus_D,10.0,1.0,,,45.7935004715249,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,U_plus_V,10.0,1.0,,,45.74261079998135,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,D_plus_V,10.0,1.0,,,45.7935004715249,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,U_plus_D_plus_V,10.0,1.0,,,45.7935004715249,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,U_2D_plus_V,10.0,1.0,,,45.7935004715249,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,10.0,1.0,,,45.74261079998135,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,oracle_error_rank,10.0,1.0,,,45.08540428230284,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re100,withheld_reynolds,DelP_Pa,random_rejection,10.0,1.0,,,45.849972720650314,60.14349297962493,108.06522184647028,45.834767111648134,0.6809672441067876,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,U_only,5.0,0.4817708333333333,0.5,0.4817708333333333,5.22636986932649,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,D_only,5.0,0.4817708333333333,0.496154948918768,0.4803702876229865,4.655630134190615,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,V_only,5.0,0.4817708333333333,0.5,0.4817708333333333,5.22636986932649,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,U_plus_D,5.0,0.4817708333333333,0.496154948918768,0.4803702876229865,4.655630134190615,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,U_plus_V,5.0,0.4817708333333333,0.5,0.4817708333333333,5.22636986932649,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,D_plus_V,5.0,0.4817708333333333,0.496154948918768,0.4803702876229865,4.655630134190615,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,U_plus_D_plus_V,5.0,0.4817708333333333,0.496154948918768,0.4803702876229865,4.655630134190615,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,U_2D_plus_V,5.0,0.4817708333333333,0.496154948918768,0.4803702876229865,4.655630134190615,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,conservative_U_D_V_max,5.0,0.4817708333333333,0.5,0.4817708333333333,5.22636986932649,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,oracle_error_rank,5.0,0.4817708333333333,1.0,1.0,3.1259136941516346,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,Nuavg,random_rejection,5.0,0.4817708333333333,0.46877027781550396,0.45735235042095923,4.7939523422298596,0.9733798298999662,1.2003901215832484,4.692423549076764,0.9729863814396282,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,U_only,10.0,1.0,,,27.46620752935736,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,D_only,10.0,1.0,,,27.77958523189138,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,V_only,10.0,1.0,,,27.46620752935736,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,U_plus_D,10.0,1.0,,,27.77958523189138,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,U_plus_V,10.0,1.0,,,27.46620752935736,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,D_plus_V,10.0,1.0,,,27.77958523189138,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,U_plus_D_plus_V,10.0,1.0,,,27.77958523189138,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,U_2D_plus_V,10.0,1.0,,,27.77958523189138,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,10.0,1.0,,,27.46620752935736,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,oracle_error_rank,10.0,1.0,,,27.07275263962217,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re250,withheld_reynolds,DelP_Pa,random_rejection,10.0,1.0,,,27.737117794737973,95.43806762885453,164.0126820981508,27.7700200200929,0.8908552962539698,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,U_only,5.0,1.0,,,22.670130942192785,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,D_only,5.0,1.0,,,20.896797474233995,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,V_only,5.0,1.0,,,22.472543438100573,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D,5.0,1.0,,,21.484392324246702,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,U_plus_V,5.0,1.0,,,22.670130942192785,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,D_plus_V,5.0,1.0,,,20.896797474233995,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D_plus_V,5.0,1.0,,,21.484392324246702,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,U_2D_plus_V,5.0,1.0,,,21.229523757646717,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
holdout_Re500,withheld_reynolds,Nuavg,conservative_U_D_V_max,5.0,1.0,,,20.894227556020738,6.024181774432872,7.102331164915029,22.252512358409167,0.560129557006102,ExtraTrees
