model_family,split_name,family,target,primary_score,tau_predict,tau_warn,n_test,n_predict,n_warn,n_abstain,coverage_predict_only,coverage_warn_only,coverage_abstain_only,coverage_predict_or_warn,failure_rate_all,failure_rate_predict_only,failure_rate_warn_only,failure_rate_abstain_only,failure_rate_predict_or_warn,MAPE_all_pct,MAPE_predict_only_pct,MAPE_warn_only_pct,MAPE_abstain_only_pct,MAPE_predict_or_warn_pct,train_seconds,physics_violation_rate_all
ExtraTrees,holdout_G01,withheld_geometry,DelP_Pa,conservative_U_D_V_max,0.9053282257154245,1.0,768,0,0,768,0.0,0.0,1.0,0.0,0.03125,,,0.03125,,4.759309334662876,,,4.759309334662876,,1.1707341000437737,0.0
ExtraTrees,holdout_G02,withheld_geometry,Nuavg,conservative_U_D_V_max,0.8850751178423195,1.0,768,256,48,464,0.3333333333333333,0.0625,0.6041666666666666,0.3958333333333333,0.0234375,0.015625,0.0625,0.023706896551724137,0.023026315789473683,1.10969839586656,0.6365021673443669,1.0959943389780757,1.3721898381776132,0.7090535628654789,1.270622399984859,0.0
ExtraTrees,holdout_G02,withheld_geometry,DelP_Pa,conservative_U_D_V_max,0.8825106406385969,1.0,768,17,3,748,0.022135416666666668,0.00390625,0.9739583333333334,0.026041666666666668,0.0,0.0,0.0,0.0,0.0,1.4180217588329105,0.2076563356634396,0.16268215504845465,1.4505648484121012,0.20091020857119188,1.145862599951215,0.0
ExtraTrees,holdout_G03,withheld_geometry,Nuavg,conservative_U_D_V_max,0.884940760693295,1.0,768,237,132,399,0.30859375,0.171875,0.51953125,0.48046875,0.05859375,0.0,0.0,0.11278195488721804,0.0,1.1565928660212366,0.5451474409611502,0.8291099880301448,1.6281224540765362,0.6467275390996523,1.2646386000560597,0.0
ExtraTrees,holdout_G03,withheld_geometry,DelP_Pa,conservative_U_D_V_max,0.8863101250351612,1.0,768,259,167,342,0.3372395833333333,0.21744791666666666,0.4453125,0.5546875,0.0,0.0,0.0,0.0,0.0,0.3891632346590956,0.45532504285540276,0.38365455675658,0.34174814953300353,0.4272288663800427,1.2317838000599295,0.0
ExtraTrees,holdout_G04,withheld_geometry,Nuavg,conservative_U_D_V_max,0.8666020024343264,1.0,768,119,21,628,0.15494791666666666,0.02734375,0.8177083333333334,0.18229166666666666,0.140625,0.0,0.0,0.17197452229299362,0.0,2.2765711173535057,0.6601845090088166,0.7933320491061865,2.6324596951022503,0.6801566400234221,1.2812575999414548,0.0
ExtraTrees,holdout_G04,withheld_geometry,DelP_Pa,conservative_U_D_V_max,0.8604416279573741,1.0,768,0,0,768,0.0,0.0,1.0,0.0,0.0625,,,0.0625,,3.9477023828496343,,,3.9477023828496343,,1.1607531000627205,0.0
ExtraTrees,holdout_G05,withheld_geometry,Nuavg,conservative_U_D_V_max,0.9165500849767273,1.0,768,255,124,389,0.33203125,0.16145833333333334,0.5065104166666666,0.4934895833333333,0.09375,0.09411764705882353,0.06451612903225806,0.10282776349614396,0.08443271767810026,2.047092550289887,2.116396913968078,1.2722861478303054,2.248643658688472,1.8402234706934502,1.2318451999453828,0.0
ExtraTrees,holdout_G05,withheld_geometry,DelP_Pa,conservative_U_D_V_max,0.9027813040499036,1.0,768,438,130,200,0.5703125,0.16927083333333334,0.2604166666666667,0.7395833333333334,0.0,0.0,0.0,0.0,0.0,1.5694741099668388,1.6310558738246892,1.293028588109723,1.6142996363252715,1.5536904739251371,1.1916258999845013,0.0
ExtraTrees,holdout_G06,withheld_geometry,Nuavg,conservative_U_D_V_max,0.9011412680526257,1.0,768,0,0,768,0.0,0.0,1.0,0.0,0.27734375,,,0.27734375,,4.783887355055115,,,4.783887355055115,,1.280157000059262,0.0
ExtraTrees,holdout_G06,withheld_geometry,DelP_Pa,conservative_U_D_V_max,0.8958350016820977,1.0,768,0,0,768,0.0,0.0,1.0,0.0,0.7708333333333334,,,0.7708333333333334,,19.17951976121648,,,19.17951976121648,,1.2044555000029504,0.0
ExtraTrees,combined_G06_Re500,combined_shift,Nuavg,conservative_U_D_V_max,0.8433794959363987,1.0,192,0,0,192,0.0,0.0,1.0,0.0,1.0,,,1.0,,29.01401396975886,,,29.01401396975886,,1.1616491000168025,0.0
ExtraTrees,combined_G06_Re500,combined_shift,DelP_Pa,conservative_U_D_V_max,0.8508771824529785,1.0,192,0,0,192,0.0,0.0,1.0,0.0,1.0,,,1.0,,68.17182687887687,,,68.17182687887687,,1.1372962000314146,0.0
