split_name,family,target,score_method,coverage_target,actual_coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2,model_family
random80_20,in_distribution,DelP_Pa,D_plus_V,0.95,0.9501084598698482,876,0.38375492180885684,2.0581761552107896,0.10325769094749693,0.003390096732498001,0.5238037580556776,1.7766084903423476,0.09704190985081602,0.9999891267869869,ExtraTrees
random80_20,in_distribution,DelP_Pa,D_plus_V,0.9,0.9002169197396963,830,0.3534970912604403,1.7273378534568873,0.09986475444869951,0.0025828724980859687,0.5173985700453366,1.7766084903423476,0.058548928621615856,0.9999923366077031,ExtraTrees
random80_20,in_distribution,DelP_Pa,D_plus_V,0.8,0.8004338394793926,738,0.26778290247131414,1.124100958067736,0.08738874786473169,0.0010869169665186952,0.44768224086432756,1.3142766267091384,-0.013333379864326495,0.9999962634456147,ExtraTrees
random80_20,in_distribution,DelP_Pa,D_plus_V,0.7,0.7006507592190889,646,0.24048978692209946,0.9620532628743022,0.08511797503729994,6.898428815559195e-07,0.42680716848800154,1.3142766267091384,-0.01802056669063942,0.9999973127000895,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_plus_D_plus_V,0.95,0.9501084598698482,876,0.24580161362418967,1.0619020465471585,0.09656382605271545,1.926084877888285e-06,0.4681125886560431,1.9872353718970057,-0.01813672061303983,0.9999961393680168,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_plus_D_plus_V,0.9,0.9002169197396963,830,0.22552425275776414,1.0503767541629243,0.08363815072174391,8.333627978320351e-12,0.43274375401663007,1.7766084903423476,-0.010922194955080792,0.9999963660939485,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_plus_D_plus_V,0.8,0.8004338394793926,738,0.1701692798540591,0.9167309291523954,0.06358293658372949,5.105888337204691e-12,0.34562243943151283,1.1399327964825623,-0.0445607576249888,0.9999974048145607,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_plus_D_plus_V,0.7,0.7006507592190889,646,0.18754611536216845,0.9778106790448245,0.06523028763951366,5.388160005768552e-12,0.35288300992960986,1.1399327964825623,-0.04947692859665541,0.9999972037629358,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_2D_plus_V,0.95,0.9501084598698482,876,0.24534255444460293,1.0606027733469554,0.09531109037102185,1.926084877888285e-06,0.45972077660350436,1.9872353718970057,-0.019829548020124,0.9999961588793637,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_2D_plus_V,0.9,0.9002169197396963,830,0.22824526725374847,1.0310105016626927,0.0846588949878097,8.333627978320351e-12,0.4376662256701648,1.7766084903423476,-0.0249141196916346,0.9999964709270744,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_2D_plus_V,0.8,0.8004338394793926,738,0.23337938144872614,1.0465178293981532,0.08163972604397901,7.366930157738656e-12,0.44480691410203793,1.7766084903423476,-0.03776150613114746,0.9999964695069518,ExtraTrees
random80_20,in_distribution,DelP_Pa,U_2D_plus_V,0.7,0.7006507592190889,646,0.22112297176762588,1.042223759482386,0.07559311558115904,6.2501659041393215e-12,0.4006563227045614,1.3142766267091384,-0.05646438732648224,0.9999965555070348,ExtraTrees
random80_20,in_distribution,DelP_Pa,conservative_U_D_V_max,0.95,0.9501084598698482,876,0.31373838792002606,1.2999820137016804,0.10528551336175362,0.001635314544839111,0.5303638340153536,1.9872353718970057,0.02632811953853649,0.9999949221425386,ExtraTrees
random80_20,in_distribution,DelP_Pa,conservative_U_D_V_max,0.9,0.9002169197396963,830,0.30591606007994077,1.295913271320293,0.10328945336966411,0.001041953900226092,0.5262015732844196,1.9872353718970057,0.02128553045298442,0.9999943149898066,ExtraTrees
random80_20,in_distribution,DelP_Pa,conservative_U_D_V_max,0.8,0.8004338394793926,738,0.23626977546292618,1.0885706664459809,0.08667433581891955,4.7334982716415964e-07,0.45970376487556264,1.7766084903423476,-0.011545440914039697,0.9999962664404454,ExtraTrees
random80_20,in_distribution,DelP_Pa,conservative_U_D_V_max,0.7,0.7006507592190889,646,0.19916551093409357,0.9108590139290009,0.07677039010278401,8.6042162360647e-12,0.42680716848800154,1.1399327964825623,-0.018548665096046267,0.9999972420218718,ExtraTrees
random80_20,in_distribution,DelP_Pa,oracle_error_rank,0.95,0.9501084598698482,876,0.24636701726220914,1.1534179654515215,0.06621944056387533,1.926084877888285e-06,0.3446080664853614,0.5644166663906942,0.014689465420580338,0.9999967245821942,ExtraTrees
random80_20,in_distribution,DelP_Pa,oracle_error_rank,0.9,0.9002169197396963,830,0.17541932900277027,0.9340528686174423,0.046248792180155325,8.333627978320351e-12,0.2601411840238245,0.3361251121746809,-0.004012150350329682,0.9999978239359586,ExtraTrees
random80_20,in_distribution,DelP_Pa,oracle_error_rank,0.8,0.8004338394793926,738,0.07803002714787073,0.4667322738519328,0.02125926474072575,5.105888337204691e-12,0.11123506077395982,0.16615018417851293,0.04340160268205738,0.9999994251106505,ExtraTrees
random80_20,in_distribution,DelP_Pa,oracle_error_rank,0.7,0.7006507592190889,646,0.022431897210118106,0.14600541521158183,0.008919222154815842,3.844473103052108e-12,0.05208089477529522,0.06556443623910045,0.006057110510824593,0.9999999385053715,ExtraTrees
random80_20,in_distribution,DelP_Pa,random_rejection,0.95,0.9501084598698482,876,0.42508949339176116,2.1738875205570927,0.1091527608668116,0.0026843885881325073,0.5687778825875025,1.9872353718970057,0.11790382076790502,0.999988807436709,ExtraTrees
random80_20,in_distribution,DelP_Pa,random_rejection,0.9,0.9002169197396963,830,0.4226197843745928,2.1906232164707635,0.10800041421287149,0.0026843550619394555,0.5740113420236717,1.9872353718970057,0.10817703152056132,0.999988589365191,ExtraTrees
random80_20,in_distribution,DelP_Pa,random_rejection,0.8,0.8004338394793926,738,0.42455803857457824,2.217792229960322,0.10731967275726759,0.0031891128761091132,0.5670333961087788,1.9872353718970057,0.11124371415227723,0.9999887330677162,ExtraTrees
random80_20,in_distribution,DelP_Pa,random_rejection,0.7,0.7006507592190889,646,0.4397833512678351,2.304645938574372,0.10871806120957384,0.0031891128761091132,0.5875727030772852,1.9872353718970057,0.14013557691045783,0.9999880802930811,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_only,0.95,0.9505208333333334,1095,4.33998255570776,4.900735734823216,39.90552535740072,37.76805055816828,58.454753003704674,61.10399745283894,4.33998255570776,-2.5579696504584417,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_only,0.9,0.9001736111111112,1037,4.35550939038251,4.9247020244707675,39.89856643300237,37.71451762523254,58.61035972432793,61.10399745283894,4.35550939038251,-2.5259560957229974,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_only,0.8,0.8003472222222222,922,4.287922979081703,4.866311087477177,39.498231562826476,37.54243842681568,58.427394809103184,60.64966696490839,4.287922979081703,-2.4387308253374282,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_only,0.7,0.7005208333333334,807,4.222485142668315,4.796448583968284,39.240250412906285,37.5701181284234,57.69666720762547,60.64966696490839,4.222485142668315,-2.4116755568881465,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_only,0.95,0.9505208333333334,1095,4.357391735875186,4.923426305423399,40.08304564312104,37.98906366263423,58.49635443305044,61.10399745283894,4.357391735875186,-2.597863189228756,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_only,0.9,0.9001736111111112,1037,4.385421237399547,4.965330303612009,40.3094253502938,38.212712569380805,58.61035972432793,61.10399745283894,4.385421237399547,-2.558263651955825,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_only,0.8,0.8003472222222222,922,4.479935166005061,5.02187972383399,41.211632455775096,41.615490795171134,58.77490462060167,61.10399745283894,4.479935166005061,-2.748424601081699,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_only,0.7,0.7005208333333334,807,4.521640617633208,5.082247907880956,41.2943680152152,41.6051168134806,58.93275149311031,61.10399745283894,4.521640617633208,-2.6334437129757795,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,V_only,0.95,0.9505208333333334,1095,4.357391735875186,4.923426305423399,40.08304564312104,37.98906366263423,58.49635443305044,61.10399745283894,4.357391735875186,-2.597863189228756,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,V_only,0.9,0.9001736111111112,1037,4.385421237399547,4.965330303612009,40.3094253502938,38.212712569380805,58.61035972432793,61.10399745283894,4.385421237399547,-2.558263651955825,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,V_only,0.8,0.8003472222222222,922,4.479935166005061,5.02187972383399,41.211632455775096,41.615490795171134,58.77490462060167,61.10399745283894,4.479935166005061,-2.748424601081699,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,V_only,0.7,0.7005208333333334,807,4.521640617633208,5.082247907880956,41.2943680152152,41.6051168134806,58.93275149311031,61.10399745283894,4.521640617633208,-2.6334437129757795,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D,0.95,0.9505208333333334,1095,4.33998255570776,4.900735734823216,39.90552535740072,37.76805055816828,58.454753003704674,61.10399745283894,4.33998255570776,-2.5579696504584417,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D,0.9,0.9001736111111112,1037,4.35550939038251,4.9247020244707675,39.89856643300237,37.71451762523254,58.61035972432793,61.10399745283894,4.35550939038251,-2.5259560957229974,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D,0.8,0.8003472222222222,922,4.287922979081703,4.866311087477177,39.498231562826476,37.54243842681568,58.427394809103184,60.64966696490839,4.287922979081703,-2.4387308253374282,ExtraTrees
