split_name,target,score_method,coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2,model_family
random80_20,Nuavg,U_only,0.5509761388286334,508,0.016104919625374317,0.03294798903560851,0.10852172146787588,0.05270612639460521,0.3833253552655219,1.5884921371585519,-0.0018814728537101387,0.9999735503102445,ExtraTrees
random80_20,Nuavg,U_only,0.6008676789587852,554,0.01642971452886564,0.032614519254412125,0.11194008578763984,0.055491360482472045,0.4097178097230245,1.5884921371585519,-0.0020365700622942203,0.9999751499535029,ExtraTrees
random80_20,Nuavg,U_only,0.6507592190889371,600,0.02328313289377406,0.08917439220095613,0.14609979592728997,0.060707176416832806,0.47225491789092006,7.218495701023861,0.0035029579922650662,0.9998251630066051,ExtraTrees
random80_20,Nuavg,U_only,0.7006507592190889,646,0.02302454975656581,0.08645561996069845,0.14730254126646575,0.06183405159051093,0.46901200144680794,7.218495701023861,0.003689035104419998,0.9998318454917458,ExtraTrees
random80_20,Nuavg,U_only,0.7505422993492408,692,0.02906862559672202,0.11085672057683058,0.1792742396035104,0.06679796386919956,0.5291905218361486,7.218495701023861,0.007661567120874559,0.9997541054827441,ExtraTrees
random80_20,Nuavg,U_only,0.8004338394793926,738,0.030388045141515746,0.10917069885681686,0.18595601404687198,0.07229309654554089,0.5977005990981045,7.218495701023861,0.0074631372553989744,0.9997752455869324,ExtraTrees
random80_20,Nuavg,U_only,0.8503253796095445,784,0.03208039464742424,0.10915416920921485,0.19557923214799655,0.07521024489203708,0.6148098239528582,7.218495701023861,0.008298573198261704,0.999785749531946,ExtraTrees
random80_20,Nuavg,U_only,0.9002169197396963,830,0.04094114690103961,0.13654327638037056,0.2200467649601622,0.08093938554541044,0.7731762133487644,7.218495701023861,0.0031511432132087383,0.9997272261240499,ExtraTrees
random80_20,Nuavg,U_only,0.9501084598698482,876,0.05197260871151897,0.1662357853701757,0.26156751406388407,0.08773835069561085,0.963554260444333,7.218495701023861,0.0033820362414762476,0.9996403043609067,ExtraTrees
random80_20,Nuavg,U_only,1.0,922,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.09633206050787407,1.5117535401318076,7.218495701023861,0.0004818165436519565,0.9993900057246003,ExtraTrees
random80_20,Nuavg,D_only,0.0509761388286334,47,0.023188415582586292,0.05446526981607975,0.10799632943435648,0.03410843000301949,0.5100141604037512,0.7603775089964326,-0.010769136149980553,0.9999280314056685,ExtraTrees
random80_20,Nuavg,D_only,0.10086767895878525,93,0.026279319330267753,0.05950481469865563,0.14732029861659252,0.0642786185931749,0.5604650298230982,2.437846318179218,0.0005973302467737142,0.9999038957762489,ExtraTrees
random80_20,Nuavg,D_only,0.15075921908893708,139,0.027578042744776998,0.06389560554486792,0.1569096369879609,0.0605696856904363,0.5961085363086015,2.6192558663946706,0.002152939366880547,0.9999127958179944,ExtraTrees
random80_20,Nuavg,D_only,0.20065075921908893,185,0.03380043530708965,0.07579716219673747,0.18770660408455542,0.0605696856904363,0.8324339524665266,2.852146677928309,0.00080660818941723,0.999899882644987,ExtraTrees
random80_20,Nuavg,D_only,0.25054229934924077,231,0.03784217471532921,0.09665704539947939,0.19198197355544924,0.06014000975387472,0.8603666448182116,2.852146677928309,-0.00605714143231004,0.9998370873137237,ExtraTrees
random80_20,Nuavg,D_only,0.3004338394793926,277,0.039626090574191974,0.10106695408798996,0.2006577507188719,0.06735552906536851,0.886247809783549,2.852146677928309,-0.004309477091652878,0.9998294378743351,ExtraTrees
random80_20,Nuavg,D_only,0.35032537960954446,323,0.039951617259633206,0.09961856100706291,0.21011906157057367,0.06919171454548254,0.9475079813187908,2.852146677928309,-0.00232776872123462,0.9998319450299901,ExtraTrees
random80_20,Nuavg,D_only,0.4002169197396963,369,0.04476599832805567,0.11626208757644745,0.22906201751608068,0.07232918045565519,1.0504412182169103,3.075986488842448,0.0030623122436242807,0.99978257428508,ExtraTrees
random80_20,Nuavg,D_only,0.45010845986984815,415,0.054787441191519556,0.17249202137941702,0.2605494769775074,0.07522375228347378,1.1369026837780463,7.02053355899714,-0.000641899135302879,0.999605171563925,ExtraTrees
random80_20,Nuavg,D_only,0.5,461,0.056329531955801135,0.1780372194478051,0.27096126810012733,0.07725915379835548,1.0982565549896341,7.218495701023861,0.0005841453895076588,0.9995611973504758,ExtraTrees
random80_20,Nuavg,D_only,0.5509761388286334,508,0.05508455844189265,0.1729943179787173,0.26532780254743654,0.07866395843674012,1.1819898340312034,7.218495701023861,0.001167823618468202,0.9995758354053021,ExtraTrees
random80_20,Nuavg,D_only,0.6008676789587852,554,0.05183736516762299,0.16582825912675064,0.2538394989151342,0.07803110203482466,0.9601151679806154,7.218495701023861,0.0010829085494082858,0.9995936927134736,ExtraTrees
