split_name,family,target,score_method,coverage_target,actual_coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2
holdout_Re500,withheld_reynolds,Nuavg,U_only,0.95,0.9505208333333334,1095,6.09656438833437,7.150049503418999,22.32225827587644,21.305914652681917,33.013146023954874,41.301988438859404,-6.09656438833437,0.5547753321546194
holdout_Re500,withheld_reynolds,Nuavg,U_only,0.9,0.9001736111111112,1037,6.170948666012506,7.210905299875677,22.349699040694553,21.351765389900635,32.81064570008165,41.301988438859404,-6.170948666012506,0.5490095637845016
holdout_Re500,withheld_reynolds,Nuavg,U_only,0.8,0.8003472222222222,922,6.369315705057338,7.358103337022907,22.552359995813855,21.45674515011053,32.79267444702773,41.21749175662314,-6.369315705057338,0.5246243169974516
holdout_Re500,withheld_reynolds,Nuavg,U_only,0.7,0.7005208333333334,807,6.596344417283673,7.562699997718998,22.706256521799755,21.718475657472673,33.26502413861767,41.21749175662314,-6.596344417283673,0.49757137284271746
holdout_Re500,withheld_reynolds,Nuavg,D_only,0.95,0.9505208333333334,1095,5.943284497676483,6.974321258486172,22.027524129093038,21.200317664927514,32.69628621335029,41.88269164367495,-5.943284497676483,0.5751893722026007
holdout_Re500,withheld_reynolds,Nuavg,D_only,0.9,0.9001736111111112,1037,5.786072043055623,6.779097446702757,21.620178383015755,21.011827669652885,30.77935393266055,39.550251265832834,-5.786072043055623,0.6006194301083556
holdout_Re500,withheld_reynolds,Nuavg,D_only,0.8,0.8003472222222222,922,5.894806478860321,6.901024152989948,21.641626689856235,21.02630364854661,31.71147279306425,39.550251265832834,-5.894806478860321,0.5832159015166767
holdout_Re500,withheld_reynolds,Nuavg,D_only,0.7,0.7005208333333334,807,6.054165663982707,7.11842501775736,21.90189191853837,21.145928552159905,31.931498583125368,39.550251265832834,-6.054165663982707,0.5872820031632274
holdout_Re500,withheld_reynolds,Nuavg,V_only,0.95,0.9505208333333334,1095,5.943284497676483,6.974321258486172,22.027524129093038,21.200317664927514,32.69628621335029,41.88269164367495,-5.943284497676483,0.5751893722026007
holdout_Re500,withheld_reynolds,Nuavg,V_only,0.9,0.9001736111111112,1037,5.786072043055623,6.779097446702758,21.620178383015755,21.011827669652885,30.77935393266055,39.550251265832834,-5.786072043055623,0.6006194301083556
holdout_Re500,withheld_reynolds,Nuavg,V_only,0.8,0.8003472222222222,922,5.89480647886032,6.901024152989949,21.64162668985624,21.02630364854661,31.71147279306425,39.550251265832834,-5.89480647886032,0.5832159015166766
holdout_Re500,withheld_reynolds,Nuavg,V_only,0.7,0.7005208333333334,807,6.099107320367182,7.139672670485951,22.047228543008444,21.24523554990774,31.931498583125368,39.550251265832834,-6.099107320367182,0.5787744477207355
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D,0.95,0.9505208333333334,1095,6.084665185052184,7.13577975628172,22.304327585502552,21.29755351477812,32.99493401948775,41.301988438859404,-6.084665185052184,0.555957187489893
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D,0.9,0.9001736111111112,1037,6.164166816659926,7.206244155231527,22.339483145347423,21.337501658959532,32.81064570008165,41.301988438859404,-6.164166816659926,0.5501454110109332
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D,0.8,0.8003472222222222,922,6.323069689860314,7.317764323585796,22.4518075718387,21.417068597638497,32.73639098948736,41.21749175662314,-6.323069689860314,0.5321889350850542
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D,0.7,0.7005208333333334,807,6.472811533260226,7.440291320058345,22.541616213633873,21.52286917603212,32.88168783343341,41.21749175662314,-6.472811533260226,0.5140678916281194
holdout_Re500,withheld_reynolds,Nuavg,U_plus_V,0.95,0.9505208333333334,1095,6.09656438833437,7.150049503418999,22.32225827587644,21.305914652681917,33.013146023954874,41.301988438859404,-6.09656438833437,0.5547753321546194
holdout_Re500,withheld_reynolds,Nuavg,U_plus_V,0.9,0.9001736111111112,1037,6.170948666012506,7.210905299875677,22.349699040694553,21.351765389900635,32.81064570008165,41.301988438859404,-6.170948666012506,0.5490095637845016
holdout_Re500,withheld_reynolds,Nuavg,U_plus_V,0.8,0.8003472222222222,922,6.369315705057338,7.358103337022907,22.552359995813855,21.45674515011053,32.79267444702773,41.21749175662314,-6.369315705057338,0.5246243169974516
holdout_Re500,withheld_reynolds,Nuavg,U_plus_V,0.7,0.7005208333333334,807,6.596344417283673,7.562699997718998,22.706256521799755,21.718475657472673,33.26502413861767,41.21749175662314,-6.596344417283673,0.49757137284271746
holdout_Re500,withheld_reynolds,Nuavg,D_plus_V,0.95,0.9505208333333334,1095,5.943284497676483,6.974321258486172,22.027524129093038,21.200317664927514,32.69628621335029,41.88269164367495,-5.943284497676483,0.5751893722026007
holdout_Re500,withheld_reynolds,Nuavg,D_plus_V,0.9,0.9001736111111112,1037,5.786072043055623,6.779097446702757,21.620178383015755,21.011827669652885,30.77935393266055,39.550251265832834,-5.786072043055623,0.6006194301083556
holdout_Re500,withheld_reynolds,Nuavg,D_plus_V,0.8,0.8003472222222222,922,5.894806478860321,6.901024152989948,21.641626689856235,21.02630364854661,31.71147279306425,39.550251265832834,-5.894806478860321,0.5832159015166767
holdout_Re500,withheld_reynolds,Nuavg,D_plus_V,0.7,0.7005208333333334,807,6.054165663982707,7.11842501775736,21.90189191853837,21.145928552159905,31.931498583125368,39.550251265832834,-6.054165663982707,0.5872820031632274
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.95,0.9505208333333334,1095,6.084665185052184,7.13577975628172,22.304327585502552,21.29755351477812,32.99493401948775,41.301988438859404,-6.084665185052184,0.555957187489893
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.9,0.9001736111111112,1037,6.164166816659926,7.206244155231527,22.339483145347423,21.337501658959532,32.81064570008165,41.301988438859404,-6.164166816659926,0.5501454110109332
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.8,0.8003472222222222,922,6.323069689860314,7.317764323585796,22.4518075718387,21.417068597638497,32.73639098948736,41.21749175662314,-6.323069689860314,0.5321889350850542
holdout_Re500,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.7,0.7005208333333334,807,6.472811533260226,7.440291320058345,22.541616213633873,21.52286917603212,32.88168783343341,41.21749175662314,-6.472811533260226,0.5140678916281194
holdout_Re500,withheld_reynolds,Nuavg,U_2D_plus_V,0.95,0.9505208333333334,1095,6.0842920172077335,7.135631740334818,22.29983153770041,21.29755351477812,32.99493401948775,41.301988438859404,-6.0842920172077335,0.5558460716183796
holdout_Re500,withheld_reynolds,Nuavg,U_2D_plus_V,0.9,0.9001736111111112,1037,6.157560846702111,7.201035720345947,22.32074831917137,21.335254556527946,32.81064570008165,41.301988438859404,-6.157560846702111,0.5508656597137853
holdout_Re500,withheld_reynolds,Nuavg,U_2D_plus_V,0.8,0.8003472222222222,922,6.278031955867942,7.274880041354876,22.38143814851558,21.390571187088895,32.73639098948736,41.21749175662314,-6.278031955867942,0.537767860571243
holdout_Re500,withheld_reynolds,Nuavg,U_2D_plus_V,0.7,0.7005208333333334,807,6.410583373437288,7.393234600785574,22.426231661900026,21.44115677439062,32.84823780357037,41.21749175662314,-6.410583373437288,0.5237369783431081
holdout_Re500,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.95,0.9505208333333334,1095,5.943284497676483,6.974321258486172,22.027524129093038,21.200317664927514,32.69628621335029,41.88269164367495,-5.943284497676483,0.5751893722026007
holdout_Re500,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.9,0.9001736111111112,1037,5.786072043055623,6.779097446702757,21.620178383015755,21.011827669652885,30.77935393266055,39.550251265832834,-5.786072043055623,0.6006194301083556
holdout_Re500,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.8,0.8003472222222222,922,5.894806478860322,6.901024152989949,21.641626689856235,21.02630364854661,31.71147279306425,39.550251265832834,-5.894806478860322,0.5832159015166767
holdout_Re500,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.7,0.7005208333333334,807,6.054165663982707,7.11842501775736,21.901891918538368,21.145928552159905,31.931498583125368,39.550251265832834,-6.054165663982707,0.5872820031632274
holdout_Re500,withheld_reynolds,Nuavg,oracle_error_rank,0.95,0.9505208333333334,1095,5.519838922732279,6.305822422112632,21.54122745950493,21.07209856569948,30.372417912267096,33.038454943083714,-5.519838922732279,0.6076509030249337
holdout_Re500,withheld_reynolds,Nuavg,oracle_error_rank,0.9,0.9001736111111112,1037,5.1487354673203525,5.745333822932766,20.969915640633136,20.925327285402954,25.940028417548017,30.32041515658304,-5.1487354673203525,0.6285722098508874
holdout_Re500,withheld_reynolds,Nuavg,oracle_error_rank,0.8,0.8003472222222222,922,4.666408845632557,5.161588332045504,20.304711865097204,20.551553057080625,23.407543781990753,24.077480335916746,-4.666408845632557,0.6685190111875264
holdout_Re500,withheld_reynolds,Nuavg,oracle_error_rank,0.7,0.7005208333333334,807,4.272754777598705,4.713175733653697,19.87153785956471,20.179806585518293,22.473926049187295,22.8024923727922,-4.272754777598705,0.688331095948205
holdout_Re500,withheld_reynolds,Nuavg,random_rejection,0.95,0.9505208333333334,1095,6.018629355346122,7.083958366428113,22.24724512711402,21.26489946271296,32.99493401948775,41.88269164367495,-6.018629355346122,0.5602395529024076
holdout_Re500,withheld_reynolds,Nuavg,random_rejection,0.9,0.9001736111111112,1037,6.018304179854655,7.087629890335498,22.239073180943315,21.27217246960204,32.99388183022483,41.88269164367495,-6.018304179854655,0.5618121401582492
holdout_Re500,withheld_reynolds,Nuavg,random_rejection,0.8,0.8003472222222222,922,5.995200398352037,7.05308759303823,22.211460434316777,21.280298732665383,32.88557882192263,41.88269164367495,-5.995200398352037,0.5611083393020359
holdout_Re500,withheld_reynolds,Nuavg,random_rejection,0.7,0.7005208333333334,807,6.006625097953106,7.073096280021885,22.243424802163155,21.261185246355073,32.96015132207542,41.88269164367495,-6.006625097953106,0.5568707755515905
holdout_Re500,withheld_reynolds,DelP_Pa,U_only,0.95,0.9505208333333334,1095,438.58519254460043,717.2017413285676,58.371611881285034,59.000627473431784,62.25954880657842,63.00341610290478,-438.58519254460043,0.5511229307713966
holdout_Re500,withheld_reynolds,DelP_Pa,U_only,0.9,0.9001736111111112,1037,443.6166463455669,730.3937776721693,58.383088411049634,59.03155084098943,62.25726182514644,63.00341610290478,-443.6166463455669,0.5548071948246694
holdout_Re500,withheld_reynolds,DelP_Pa,U_only,0.8,0.8003472222222222,922,440.7909492085581,739.6124790751495,58.41781448514262,59.06355695137268,62.28360669592475,63.00341610290478,-440.7909492085581,0.5642885367061807
holdout_Re500,withheld_reynolds,DelP_Pa,U_only,0.7,0.7005208333333334,807,449.6682397434337,752.1664213953461,58.41630837992732,59.116352046501845,62.300626265267894,63.00341610290478,-449.6682397434337,0.563501532956568
holdout_Re500,withheld_reynolds,DelP_Pa,D_only,0.95,0.9505208333333334,1095,429.0694133711904,697.6824151045222,58.41216148211841,59.02081689646073,62.206277127308105,62.969861861170386,-429.0694133711904,0.5484007920709743
holdout_Re500,withheld_reynolds,DelP_Pa,D_only,0.9,0.9001736111111112,1037,434.17221366968164,708.7104658255709,58.240732150888405,58.91853226260133,61.7318821880439,62.95956329013836,-434.17221366968164,0.550505243855517
holdout_Re500,withheld_reynolds,DelP_Pa,D_only,0.8,0.8003472222222222,922,416.47030690793633,689.4992901051567,58.12808309427991,58.82660679410262,61.31583022624747,62.322402588498825,-416.47030690793633,0.5592764381163602
holdout_Re500,withheld_reynolds,DelP_Pa,D_only,0.7,0.7005208333333334,807,415.67267891183593,689.1748818948179,58.07755957151583,58.7515036516334,61.2594807262928,62.322402588498825,-415.67267891183593,0.560045761453116
