model_family,split_name,split,split_family,target,n_cases,n_retained,n_abstain,n_failed,retained_cov_pct,abstain_cov_pct,MAPE_all_pct,MAPE_retained_pct,failure_all_pct,failure_retained_pct,false_accept_n,false_accept_pct_all,false_abstain_n,false_abstain_pct_all,bias_pct
XGBoost,holdout_G02,Holdout G02,Withheld geometry,DelP_Pa,768,653,115,0,85.02604166666666,14.973958333333334,0.49466728313691516,0.4655711325364937,0.0,0.0,0,0.0,115,14.973958333333334,0.23639660872369184
XGBoost,holdout_G02,Holdout G02,Withheld geometry,Nuavg,768,450,318,44,58.59375,41.40625,1.158073394611845,0.8524216068634322,5.729166666666666,1.5555555555555556,7,0.9114583333333334,281,36.58854166666667,0.3814036290883643
XGBoost,holdout_G03,Holdout G03,Withheld geometry,DelP_Pa,768,409,359,0,53.255208333333336,46.74479166666667,0.3818929164182432,0.3301508767646397,0.0,0.0,0,0.0,359,46.74479166666667,0.08870744465544188
XGBoost,holdout_G03,Holdout G03,Withheld geometry,Nuavg,768,360,408,47,46.875,53.125,1.147698023787547,0.8028986704114917,6.119791666666666,2.5,9,1.171875,370,48.17708333333333,-0.7799016256717831
XGBoost,holdout_G04,Holdout G04,Withheld geometry,DelP_Pa,768,651,117,0,84.765625,15.234375,1.522269512427154,1.5814572837985668,0.0,0.0,0,0.0,117,15.234375,-1.3346248805327416
XGBoost,holdout_G04,Holdout G04,Withheld geometry,Nuavg,768,443,325,106,57.682291666666664,42.31770833333333,2.4443992167897064,2.4131554980205325,13.802083333333334,12.18961625282167,54,7.03125,273,35.546875,1.4057798132761865
XGBoost,holdout_G05,Holdout G05,Withheld geometry,DelP_Pa,768,517,251,0,67.31770833333334,32.68229166666667,1.331521861996506,1.2954941111325489,0.0,0.0,0,0.0,251,32.68229166666667,1.1727357238879852
XGBoost,holdout_G05,Holdout G05,Withheld geometry,Nuavg,768,509,259,84,66.27604166666666,33.72395833333333,2.1560472781228377,2.1202295075864153,10.9375,9.823182711198427,50,6.510416666666667,225,29.296875,-0.5787172001821315
XGBoost,holdout_G06,Holdout G06,Withheld geometry,DelP_Pa,768,0,768,592,0.0,100.0,19.17962055856702,,77.08333333333334,,0,0.0,176,22.916666666666664,-19.17962055856702
XGBoost,holdout_G06,Holdout G06,Withheld geometry,Nuavg,768,0,768,212,0.0,100.0,4.773732123461688,,27.604166666666668,,0,0.0,556,72.39583333333334,-2.2469944783939035
XGBoost,combined_G06_Re500,Combined G06/Re500,Combined G06/Re500,DelP_Pa,192,0,192,192,0.0,100.0,68.18438106348701,,100.0,,0,0.0,0,0.0,-68.18438106348701
XGBoost,combined_G06_Re500,Combined G06/Re500,Combined G06/Re500,Nuavg,192,0,192,192,0.0,100.0,29.005076624094272,,100.0,,0,0.0,0,0.0,-29.005076624094272
