split_name,family,target,score_method,tolerance_pct,failure_rate,failure_AUROC,failure_AUPRC,AURC_MAPE_pct,full_MAE,full_RMSE,full_MAPE_pct,full_R2
random80_20,in_distribution,DelP_Pa,D_only,10.0,0.0,,,0.3274672813590806,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,V_only,10.0,0.0,,,0.41803295620648584,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,U_plus_D,10.0,0.0,,,0.281364820081544,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,U_plus_V,10.0,0.0,,,0.26959369044533765,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,D_plus_V,10.0,0.0,,,0.3274672813590806,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,U_plus_D_plus_V,10.0,0.0,,,0.281364820081544,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,U_2D_plus_V,10.0,0.0,,,0.2911273928886568,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,conservative_U_D_V_max,10.0,0.0,,,0.30203492440856905,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,oracle_error_rank,10.0,0.0,,,0.1487303371834392,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
random80_20,in_distribution,DelP_Pa,random_rejection,10.0,0.0,,,0.436189301362067,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
holdout_Re25,withheld_reynolds,Nuavg,U_only,5.0,1.0,,,42.82465142697575,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,D_only,5.0,1.0,,,41.18629605037301,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,V_only,5.0,1.0,,,41.18629605037301,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D,5.0,1.0,,,42.82465142697575,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,U_plus_V,5.0,1.0,,,42.82465142697575,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,D_plus_V,5.0,1.0,,,41.18629605037301,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D_plus_V,5.0,1.0,,,42.82465142697575,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,U_2D_plus_V,5.0,1.0,,,42.82465142697575,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,conservative_U_D_V_max,5.0,1.0,,,41.18629605037301,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,learned_logistic_gate,5.0,1.0,,,42.82465142697575,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,oracle_error_rank,5.0,1.0,,,29.809042600975214,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,Nuavg,random_rejection,5.0,1.0,,,39.9193458561526,4.319444935993354,4.8774707159696895,39.873113392472774,-2.576134063158582
holdout_Re25,withheld_reynolds,DelP_Pa,U_only,10.0,1.0,,,331.8355100941378,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,D_only,10.0,1.0,,,327.9247208634288,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,V_only,10.0,1.0,,,327.9247208634288,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,U_plus_D,10.0,1.0,,,331.8355100941378,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,U_plus_V,10.0,1.0,,,331.8355100941378,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,D_plus_V,10.0,1.0,,,327.9247208634288,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,U_plus_D_plus_V,10.0,1.0,,,331.8355100941378,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,U_2D_plus_V,10.0,1.0,,,331.8355100941378,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,10.0,1.0,,,327.9247208634288,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,oracle_error_rank,10.0,1.0,,,318.2502010311603,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re25,withheld_reynolds,DelP_Pa,random_rejection,10.0,1.0,,,331.1173749664212,98.0114980031301,174.23036014637032,331.44663899580064,-12.727892142455685
holdout_Re100,withheld_reynolds,Nuavg,U_only,5.0,1.0,,,28.33033624021353,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,D_only,5.0,1.0,,,26.515449035611287,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
