split_name,split_family,target,q_predict,q_warn,n_cases,n_predict,n_warn,n_abstain,coverage_predict_or_warn_pct,MAPE_all_pct,MAPE_predict_or_warn_pct,failure_rate_all_pct,failure_rate_predict_or_warn_pct
holdout_Re250,withheld_reynolds,Nuavg,0.7,0.85,1152,917,180,55,95.22569444444444,23.97226201168336,23.805226968330928,100.0,100.0
holdout_Re250,withheld_reynolds,Nuavg,0.75,0.9,1152,984,124,44,96.18055555555556,23.97226201168336,23.851166217956838,100.0,100.0
holdout_Re250,withheld_reynolds,Nuavg,0.8,0.9,1152,1005,103,44,96.18055555555556,23.97226201168336,23.851166217956838,100.0,100.0
holdout_Re250,withheld_reynolds,Nuavg,0.85,0.95,1152,1097,11,44,96.18055555555556,23.97226201168336,23.851166217956838,100.0,100.0
holdout_Re500,withheld_reynolds,DelP_Pa,0.7,0.85,1152,0,171,981,14.84375,58.37050169214336,58.475100934618304,100.0,100.0
holdout_Re500,withheld_reynolds,DelP_Pa,0.75,0.9,1152,0,187,965,16.23263888888889,58.37050169214336,58.26622625115632,100.0,100.0
holdout_Re500,withheld_reynolds,DelP_Pa,0.8,0.9,1152,0,187,965,16.23263888888889,58.37050169214336,58.26622625115632,100.0,100.0
holdout_Re500,withheld_reynolds,DelP_Pa,0.85,0.95,1152,171,16,965,16.23263888888889,58.37050169214336,58.26622625115632,100.0,100.0
holdout_Re500,withheld_reynolds,Nuavg,0.7,0.85,1152,0,170,982,14.756944444444445,22.25554962522673,18.493505735372665,100.0,100.0
holdout_Re500,withheld_reynolds,Nuavg,0.75,0.9,1152,0,186,966,16.145833333333336,22.25554962522673,18.484615419195208,100.0,100.0
holdout_Re500,withheld_reynolds,Nuavg,0.8,0.9,1152,0,186,966,16.145833333333336,22.25554962522673,18.484615419195208,100.0,100.0
holdout_Re500,withheld_reynolds,Nuavg,0.85,0.95,1152,170,16,966,16.145833333333336,22.25554962522673,18.484615419195208,100.0,100.0
random80_20,in_distribution,DelP_Pa,0.7,0.85,922,629,153,140,84.81561822125813,0.4313515115793473,0.3365066668159611,0.0,0.0
random80_20,in_distribution,DelP_Pa,0.75,0.9,922,683,113,126,86.33405639913232,0.4313515115793473,0.33840589055613157,0.0,0.0
random80_20,in_distribution,DelP_Pa,0.8,0.9,922,718,78,126,86.33405639913232,0.4313515115793473,0.33840589055613157,0.0,0.0
random80_20,in_distribution,DelP_Pa,0.85,0.95,922,782,14,126,86.33405639913232,0.4313515115793473,0.33840589055613157,0.0,0.0
random80_20,in_distribution,Nuavg,0.7,0.85,922,620,153,149,83.83947939262472,0.5153089631954141,0.41738092946092,0.7592190889370932,0.129366106080207
random80_20,in_distribution,Nuavg,0.75,0.9,922,674,115,133,85.57483731019524,0.5153089631954141,0.42797695205410624,0.7592190889370932,0.25348542458808615
random80_20,in_distribution,Nuavg,0.8,0.9,922,716,73,133,85.57483731019524,0.5153089631954141,0.42797695205410624,0.7592190889370932,0.25348542458808615
random80_20,in_distribution,Nuavg,0.85,0.95,922,773,16,133,85.57483731019524,0.5153089631954141,0.42797695205410624,0.7592190889370932,0.25348542458808615
