split_name,target,score_method,coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2
holdout_Re25,Nuavg,V_only,0.4505208333333333,519,4.537640290185711,5.079305541653125,41.84083581827306,41.110994190916855,59.48035614334379,61.094076305680495,4.537640290185711,-2.7383065664020054
holdout_Re25,Nuavg,V_only,0.5,576,4.806248985804452,5.347845358719792,43.15621878213988,46.20632564581312,59.44099410632815,61.094076305680495,4.806248985804452,-2.9786849635756565
holdout_Re25,Nuavg,V_only,0.5503472222222222,634,4.556868306984886,5.138078452453912,41.67898011346724,41.102777215606594,59.316075472914335,61.094076305680495,4.556868306984886,-2.6494354037595516
holdout_Re25,Nuavg,V_only,0.6006944444444444,692,4.4607914743324235,5.027952126069562,41.21018821679578,38.2653184069128,59.104030468153034,61.094076305680495,4.4607914743324235,-2.6846645372826936
holdout_Re25,Nuavg,V_only,0.6501736111111112,749,4.585209143251793,5.128480066277214,41.82636480116977,42.32583108117015,58.95160818478394,61.094076305680495,4.585209143251793,-2.815535925586408
holdout_Re25,Nuavg,V_only,0.7005208333333334,807,4.523442404738264,5.083964225411218,41.31058024678616,41.51688128756115,58.77809109172994,61.094076305680495,4.523442404738264,-2.6358982158853745
holdout_Re25,Nuavg,V_only,0.75,864,4.393237815187596,4.958433635761628,40.62283305037409,37.3769538867399,58.73426668530741,61.094076305680495,4.393237815187596,-2.547440939145969
holdout_Re25,Nuavg,V_only,0.8003472222222222,922,4.48299643705455,5.025245718585122,41.238257880990744,41.53340063575401,58.73744237346906,61.094076305680495,4.48299643705455,-2.75345116749041
holdout_Re25,Nuavg,V_only,0.8506944444444444,980,4.530279914444904,5.087819534722133,41.267716968580004,42.31606439793197,58.6592595101384,61.094076305680495,4.530279914444904,-2.7002261336319977
holdout_Re25,Nuavg,V_only,0.9001736111111112,1037,4.388057786108328,4.968299109468047,40.33332084289911,38.245426320618996,58.584565080052734,61.094076305680495,4.388057786108328,-2.5625199456581247
